branch,queue,subqueue,queue_full,city,street,house
Полтавська,5,1,5.1,м.Полтава,вул. Антона Грицая,10
Полтавська,5,1,5.1,м.Полтава,вул. Антона Грицая,12а
Полтавська,5,1,5.1,м.Полтава,вул. Соборності 41,44
Полтавська,5,1,5.1,м.Полтава,пров. Рибальський,6
Полтавська,5,1,5.1,м.Полтава,вул. Чураївни,2б
Полтавська,5,1,5.1,м.Полтава,вул. Чураївни,2а
Полтавська,5,1,5.1,м.Полтава,вул. Будівельників,27)
Полтавська,5,1,5.1,м.Полтава,вул. Будівельників,23)
Полтавська,5,1,5.1,м.Полтава,вул. Будівельників,22)
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Миру 7,10
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Миру 7,10Б
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Миру 7,12
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Миру 7,12А
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Миру 7,5
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Миру 7,7
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Строни 2 автостоянка,12
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Будівельників,11)
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Будівельників,16)
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Будівельників,16)
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Будівельників,16)
Полтавська,5,1,5.1,"м.Горішні Плавні"" (АБК)",вул. Портова,65)
